NTR family;Name;Uniprot;Gene_name;Intrinsic motif;Adaptor;Domain;Type;In the list;Construct_name;;;;;;;
Collagen receptors;LAIR1;Q6GTX8;;2 ITIM;;1 Ig;type I;Yes;;;;;;;;
T cell immunoglobulin and mucin family;T cell immunoglobulin and mucin 1 (TIM-1);Q96D42;;2 ITTM;;1 Ig, mucin;typeI;Yes;;;;;;;;
T cell immunoglobulin and mucin family;T cell immunoglobulin and mucin 3 (TIM-3);Q8TDQ0;;non-classical inhibitory;;1 Ig, mucin;typeI;Yes;;;;;;;;
Nectin-binding family;CD226 (DNAM-1);Q15762;;1 ITTM;;2 Ig;typeI;Yes;;;;;;;;
Nectin-binding family;T-cell immunoreceptor with Ig and ITIM domains (TIGIT);Q495A1;;1 ITIM;;1 Ig;typeI;Yes;;;;;;;;
Nectin-binding family;Cytotoxic and regulatory T-cell molecule (CRTAM);O95727;;?;;2 Ig;typeI;Yes;;;;;;;;
Nectin-binding family;CD96;P40200;;1 ITTM;;3 Ig;typeI;Yes;;;;;;;;
Triggering receptor expressed on myeloid cells family;Trem-like transcript 1 (TREML1);Q86YW5;;1 ITSM, 1 ITIM;;1 Ig;type I;Yes;;;;;;;;
Miscellaneous;CD7;P09564;;1 ITTM;;1 Ig;type I;Yes;;;;;;;;
Miscellaneous;PECAM-1 (CD31);P16284;;2 ITIM;;6 Ig;type I;Yes;;;;;;;;
Miscellaneous;Junctional adhesion molecule-like (JAML);Q86YT9;;1 ITTM;;2 Ig;type I;Yes;;;;;;;;
Miscellaneous;CD19;P15391;;7 ITTM;;2 Ig;type I;Yes;;;;;;;;
Miscellaneous;Megakaryocyte and platelet inhibitory receptor G6b;O95866;;2 ITIM, 1 ITSM;;1 Ig;type I;Yes;;;;;;;;
Miscellaneous;LAG3;;;None;;;;Yes;;;;;;;;
Miscellaneous;VSIR;Q9H7M9;;None;;1 V-set Ig domain;;Yes;;;;;;;;
Miscellaneous;VSIG4;Q9Y279;;None;;2 Ig domains (V-set + C2-set typical for complement receptors);;Yes;;;;;;;;
Miscellaneous;CEACAM1;P13688;;2 ITIMs;;4 Ig-like C2-type / Ig V-type domains;;Yes;;;;;;;;
Miscellaneous;41BB;Q07011;;None;;TNF receptor family;;Yes;;;;;;;;
Miscellaneous;CD27;P26842;;None;;TNF receptor family;;Yes;;;;;;;;
Miscellaneous;GITR;Q9Y5W8;;None;;TNF receptor family;;Yes;;;;;;;;
Miscellaneous;MPZ;P25189;;None;;Ig domains;;Yes;;;;;;;;
Miscellaneous;MPZL1;Q9HAV5;;None;;Ig domain;;Yes;;;;;;;;
Miscellaneous;VSTM1;Q6NT76;;None;;V-set and transmembrane.;;Yes;;;;;;;;
Miscellaneous;VSTM4;Q8IW00;;None;;1 predicted Ig domain;;Yes;;;;;;;;
Miscellaneous;CD2;P06729;;None- adhesion;;2 Ig domains;;Yes;;;;;;;;
Miscellaneous;CD21;P17927;;None;;Many Ig domains (~15);;Yes;;;;;;;;
Miscellaneous;CD99L2;Q969X0;;None;;Ig domain;;Yes;;;;;;;;
Miscellaneous;Truncated;Control;;None;;;;Yes;;;;;;;;
Miscellaneous;long Truncated;Control;;None;;;;;;;;;;;;
Miscellaneous;PVR;Control;;None;;;;;;;;;;;;

